Model,Encoded_Value,,,,,
HURACAN,796,,,,,
VENENO ROADSTER,797,,,,,
RANGE ROVER,798,,,,,
RANGE ROVER SUPERCHARGED,799,,,,,
RANGE ROVER SUPERCHARGED LWB,800,,,,,
RANGE ROVER SPORT,801,,,,,
RANGE ROVER SPORT SUPERCHARGED,802,,,,,
NX 200t AWD,803,,,,,
NX 200t AWD F SPORT,804,,,,,
NX 300h AWD,805,,,,,
RC 350,806,,,,,
RC 350 AWD,807,,,,,
RC F,808,,,,,
MKC AWD,809,,,,,
NAVIGATOR 4X4,810,,,,,
NAVIGATOR L 4X4,811,,,,,
B 250 4MATIC,812,,,,,
C 300 4MATIC,813,,,,,
C 400 4MATIC,814,,,,,
CLA 250 4MATIC,815,,,,,
CLA 45 AMG,816,,,,,
CLS 400 4MATIC,817,,,,,
E 400 4MATIC,818,,,,,
E 400 4MATIC WAGON,819,,,,,
E 400 CABRIOLET,820,,,,,
E 400 COUPE,821,,,,,
GLA 250 4MATIC,822,,,,,
GLA 45 AMG 4MATIC,823,,,,,
ML 400 4MATIC,824,,,,,
S 400 4MATIC,825,,,,,
S 550 4MATIC COUPE,826,,,,,
S 600,827,,,,,
S 63 AMG COUPE,828,,,,,
S 65 AMG,829,,,,,
S 65 AMG COUPE,830,,,,,
SLS AMG GT ROADSTER,831,,,,,
COOPER 3 DOOR,832,,,,,
COOPER 5 DOOR,833,,,,,
COOPER S 3 DOOR,834,,,,,
COOPER S 5 DOOR,835,,,,,
JOHN COOPER WORKS,836,,,,,
370Z COUPE,837,,,,,
JUKE NISMO RS,838,,,,,
JUKE NISMO RS AWD,839,,,,,
MICRA,840,,,,,
MURANO,841,,,,,
PATHFINDER 4WD PLATINUM,842,,,,,
911 CARRERA 4 GTS,843,,,,,
911 CARRERA 4 GTS CABRIOLET,844,,,,,
911 CARRERA GTS,845,,,,,
911 CARRERA GTS CABRIOLET,846,,,,,
911 TARGA 4,847,,,,,
911 TARGA 4S,848,,,,,
BOXSTER GTS,849,,,,,
CAYMAN GTS,850,,,,,
MACAN S,851,,,,,
MACAN TURBO,852,,,,,
PANAMERA TURBO S,853,,,,,
PANAMERA TURBO S EXECUTIVE,854,,,,,
1500,855,,,,,
1500 ECODIESEL,856,,,,,
1500 ECODIESEL HFE,857,,,,,
1500 4X4,858,,,,,
1500 4X4 ECODIESEL,859,,,,,
PROMASTER CITY,860,,,,,
WRX,861,,,,,
4RUNNER 4WD (Part-Time 4WD),862,,,,,
RAV4 LE/XLE,863,,,,,
GOLF,864,,,,,
GOLF TDI (modified),865,,,,,
GOLF GTI,866,,,,,
GOLF SPORTWAGON,867,,,,,
GOLF SPORTWAGON TDI (modified),868,,,,,
JETTA HYBRID,869,,,,,
S60 POLESTAR AWD,870,,,,,
S60 T5,871,,,,,
S60 T5 AWD,872,,,,,
S60 T6,873,,,,,
S60 T6 AWD,874,,,,,
S80 T5,875,,,,,
S80 T6 AWD,876,,,,,
V60 CC,877,,,,,
V60 CC AWD,878,,,,,
V60 POLESTAR AWD,879,,,,,
V60 T5,880,,,,,
V60 T5 AWD,881,,,,,
V60 T6 AWD,882,,,,,
XC60 3.2 AWD,883,,,,,
XC60 T5,884,,,,,
XC60 T5 AWD,885,,,,,
XC60 T6,886,,,,,
XC60 T6 AWD,887,,,,,
XC70 3.2 AWD,888,,,,,
XC70 T5,889,,,,,
XC70 T6 AWD,890,,,,,
MDX SH-AWD ELITE,891,,,,,
DB9 GT,892,,,,,
A8 QUATTRO,893,,,,,
A8 QUATTRO TDI (modified),894,,,,,
A8L QUATTRO,895,,,,,
Q5 QUATTRO,896,,,,,
Q5 QUATTRO TDI (modified),897,,,,,
Q5 HYBRID QUATTRO,898,,,,,
RS 7 QUATTRO,899,,,,,
S3 QUATTRO,900,,,,,
S4 QUATTRO,901,,,,,
S5 QUATTRO,902,,,,,
S5 CABRIOLET QUATTRO,903,,,,,
S6 QUATTRO,904,,,,,
S7 QUATTRO,905,,,,,
S8 QUATTRO,906,,,,,
SQ5 QUATTRO,907,,,,,
228i,908,,,,,
228i xDRIVE,909,,,,,
340i,910,,,,,
340i xDRIVE,911,,,,,
M2,912,,,,,
M235i,913,,,,,
M235i xDRIVE,914,,,,,
M235i xDRIVE CABRIOLET,915,,,,,
M3,916,,,,,
X4 M40i,917,,,,,
ENCORE SPORT TOURING,918,,,,,
ENCORE SPORT TOURING AWD,919,,,,,
ENVISION AWD,920,,,,,
LACROSSE FFV,921,,,,,
LACROSSE AWD FFV,922,,,,,
ATS-V,923,,,,,
CT6,924,,,,,
CT6 AWD,925,,,,,
CTS-V,926,,,,,
CRUZE PREMIER,927,,,,,
CRUZE LIMITED,928,,,,,
CRUZE LIMITED ECO,929,,,,,
IMPALA FFV,930,,,,,
IMPALA DUAL FUEL,931,,,,,
MALIBU LIMITED,932,,,,,
MALIBU HYBRID,933,,,,,
SILVERADO FFV,934,,,,,
SILVERADO 4WD FFV,935,,,,,
SILVERADO eASSIST 4WD,936,,,,,
SUBURBAN FFV,937,,,,,
SUBURBAN 4WD FFV,938,,,,,
TAHOE FFV,939,,,,,
TAHOE 4WD FFV,940,,,,,
TRAX 4WD,941,,,,,
DURANGO AWD,942,,,,,
VIPER SRT,943,,,,,
500X,944,,,,,
500X AWD,945,,,,,
EXPEDITION EL 4X4,946,,,,,
F-150 (Payload Pkg),947,,,,,
F-150 FFV (Payload Pkg),948,,,,,
F-150 4X4 (Payload Pkg),949,,,,,
F-150 FFV 4X4 (Payload Pkg),950,,,,,
FLEX AWD GTDI,951,,,,,
FOCUS RS AWD,952,,,,,
FOCUS ST,953,,,,,
SHELBY GT350 MUSTANG,954,,,,,
TRANSIT CONNECT VAN FFV,955,,,,,
TRANSIT CONNECT WAGON FFV,956,,,,,
TRANSIT CONNECT WAGON LWB,957,,,,,
TRANSIT CONNECT WAGON LWB FFV,958,,,,,
SIERRA FFV,959,,,,,
SIERRA 4WD FFV,960,,,,,
SIERRA eASSIST 4WD,961,,,,,
YUKON FFV,962,,,,,
YUKON 4WD FFV,963,,,,,
YUKON XL FFV,964,,,,,
YUKON XL 4WD FFV,965,,,,,
ACCORD COUPE,966,,,,,
ACCORD SEDAN,967,,,,,
ACCORD SPORT,968,,,,,
CIVIC COUPE,969,,,,,
CIVIC SEDAN,970,,,,,
HR-V,971,,,,,
HR-V AWD,972,,,,,
Q50S AWD,973,,,,,
Q50S RED SPORT,974,,,,,
Q50S RED SPORT AWD,975,,,,,
F-TYPE PROJECT 7 CONVERTIBLE,976,,,,,
F-TYPE R AWD CONVERTIBLE,977,,,,,
F-TYPE R AWD COUPE,978,,,,,
F-TYPE S CONVERTIBLE AWD,979,,,,,
F-TYPE S COUPE AWD,980,,,,,
XF AWD ,981,,,,,
XJ R-SPORT 3.0 AWD,982,,,,,
XJL 3.0 AWD PORTFOLIO,983,,,,,
GRAND CHEROKEE 4X4,984,,,,,
SOUL ECO DYNAMICS,985,,,,,
HURACAN SPYDER,986,,,,,
DISCOVERY SPORT,987,,,,,
RANGE ROVER TD6 DIESEL,988,,,,,
RANGE ROVER SPORT TD6 DIESEL,989,,,,,
GS 200t,990,,,,,
GS 200t F SPORT,991,,,,,
GS 350 F SPORT,992,,,,,
GS F,993,,,,,
IS 200t,994,,,,,
IS 300 AWD,995,,,,,
RC 200t,996,,,,,
RC 300 AWD,997,,,,,
GHIBLI S,998,,,,,
GHIBLI SQ4,999,,,,,
QUATTROPORTE S,1000,,,,,
CX-3,1001,,,,,
CX-3 4WD,1002,,,,,
CX-5 (SIL),1003,,,,,
MAZDA6 (SIL),1004,,,,,
MX-5 (SIL),1005,,,,,
AMG C 63,1006,,,,,
AMG C 63 S,1007,,,,,
AMG CLA 45,1008,,,,,
AMG CLS 63 S 4MATIC,1009,,,,,
AMG E 63 S 4MATIC,1010,,,,,
AMG E 63 S 4MATIC WAGON,1011,,,,,
AMG G 63,1012,,,,,
AMG G 65,1013,,,,,
AMG GL 63 S,1014,,,,,
AMG GLA 45,1015,,,,,
AMG GLE 63 S 4MATIC,1016,,,,,
AMG GLE 63 S COUPE 4MATIC,1017,,,,,
AMG GT S,1018,,,,,
AMG S 63,1019,,,,,
AMG S 63 COUPE,1020,,,,,
AMG S 65,1021,,,,,
AMG S 65 COUPE,1022,,,,,
AMG SL 63,1023,,,,,
AMG SL 65,1024,,,,,
AMG SLK 55,1025,,,,,
C 450 AMG SPORT 4MATIC,1026,,,,,
CLA 250 4MATIC FFV,1027,,,,,
E 400 4MATIC COUPE,1028,,,,,
GLE 350d 4MATIC,1029,,,,,
GLE 350d 4MATIC COUPE,1030,,,,,
GLE 400 4MATIC,1031,,,,,
GLE 450 AMG SPORT 4MATIC COUPE,1032,,,,,
GLE 550 4MATIC,1033,,,,,
MAYBACH S 600,1034,,,,,
METRIS CARGO,1035,,,,,
METRIS PASSENGER,1036,,,,,
S 400 4MATIC SWB,1037,,,,,
SLK 300,1038,,,,,
LANCER 4WD,1039,,,,,
ALTIMA 3.5,1040,,,,,
ALTIMA SR,1041,,,,,
911 GT3RS,1042,,,,,
BOXSTER SPYDER,1043,,,,,
CAYMAN GT4,1044,,,,,
iM,1045,,,,,
RAV4 HYBRID AWD,1046,,,,,
RAV4 LIMITED/SE AWD,1047,,,,,
TACOMA 4WD D-CAB OFF-ROAD,1048,,,,,
YARIS (SIL),1049,,,,,
YARIS HATCHBACK,1050,,,,,
BEETLE DUNE,1051,,,,,
GOLF R,1052,,,,,
S60 CC T5 AWD,1053,,,,,
S60 INSCRIPTION,1054,,,,,
S60 INSCRIPTION T5 AWD,1055,,,,,
S60 3.0T AWD,1056,,,,,
S60 POLESTAR,1057,,,,,
V60 CC T5 AWD,1058,,,,,
V60 3.0T AWD,1059,,,,,
V60 POLESTAR,1060,,,,,
XC60 3.0T AWD,1061,,,,,
XC70 T5 AWD,1062,,,,,
XC90 T5,1063,,,,,
XC90 T5 AWD,1064,,,,,
XC90 T6 AWD,1065,,,,,
MDX HYBRID AWD,1066,,,,,
NSX,1067,,,,,
4C SPIDER,1068,,,,,
GIULIA,1069,,,,,
GIULIA AWD,1070,,,,,
GIULIA QUADRIFOGLIO,1071,,,,,
DB11 V12,1072,,,,,
A4 ULTRA,1073,,,,,
BENTAYGA,1074,,,,,
MULSANNE EWB,1075,,,,,
230i CABRIOLET,1076,,,,,
230i COUPE,1077,,,,,
230i xDRIVE CABRIOLET,1078,,,,,
230i xDRIVE COUPE,1079,,,,,
330i xDRIVE,1080,,,,,
330i xDRIVE GRAN TURISMO,1081,,,,,
330i xDRIVE TOURING,1082,,,,,
340i xDRIVE GRAN TURISMO,1083,,,,,
430i xDRIVE CABRIOLET,1084,,,,,
430i xDRIVE COUPE,1085,,,,,
430i xDRIVE GRAN COUPE,1086,,,,,
440i COUPE,1087,,,,,
440i xDRIVE CABRIOLET,1088,,,,,
440i xDRIVE COUPE,1089,,,,,
440i xDRIVE GRAN COUPE,1090,,,,,
530i xDRIVE,1091,,,,,
540i xDRIVE,1092,,,,,
ALPINA B7 xDRIVE,1093,,,,,
M240i CABRIOLET,1094,,,,,
M240i COUPE,1095,,,,,
M240i xDRIVE CABRIOLET,1096,,,,,
M240i xDRIVE COUPE,1097,,,,,
M760i xDRIVE,1098,,,,,
ENCORE (LUV Engine),1099,,,,,
ENCORE (LE2 Engine),1100,,,,,
ENCORE AWD (LUV Engine),1101,,,,,
ENCORE AWD (LE2 Engine),1102,,,,,
XT5,1103,,,,,
XT5 AWD,1104,,,,,
COLORADO ZR2 4WD,1105,,,,,
CRUZE HATCHBACK,1106,,,,,
CRUZE HATCHBACK PREMIER,1107,,,,,
PACIFICA,1108,,,,,
PACIFICA (Stop-Start),1109,,,,,
CHALLENGER GT,1110,,,,,
VIPER,1111,,,,,
124 SPIDER,1112,,,,,
ESCAPE FFV,1113,,,,,
F-150 (LT Tire Pkg),1114,,,,,
F-150 4X4 (LT Tire Pkg),1115,,,,,
F-150 FFV 4X4 (LT Tire Pkg),1116,,,,,
FOCUS (Start/Stop),1117,,,,,
GT,1118,,,,,
MUSTANG (Performance Pkg),1119,,,,,
G80 AWD,1120,,,,,
G90 AWD,1121,,,,,
CIVIC HATCHBACK,1122,,,,,
IONIQ,1123,,,,,
IONIQ BLUE,1124,,,,,
SONATA HYBRID SE,1125,,,,,
Q60S RED SPORT AWD,1126,,,,,
QX30,1127,,,,,
QX30 AWD,1128,,,,,
F-PACE 35t,1129,,,,,
F-TYPE R CONVERTIBLE AWD,1130,,,,,
F-TYPE R COUPE AWD,1131,,,,,
XE 20d AWD,1132,,,,,
XE 35t AWD,1133,,,,,
XF 20d AWD,1134,,,,,
XF 35t AWD,1135,,,,,
XJL PORTFOLIO 3.0 AWD,1136,,,,,
XJR  LWB,1137,,,,,
CHEROKEE 4X4 ACTIVE DRIVE I,1138,,,,,
CHEROKEE 4X4 ACTIVE DRIVE LOCK,1139,,,,,
GRAND CHEROKEE SRT8,1140,,,,,
NEW COMPASS,1141,,,,,
NEW COMPASS 4X4,1142,,,,,
FORTE (MPI),1143,,,,,
FORTE (GDI),1144,,,,,
NIRO,1145,,,,,
NIRO FE,1146,,,,,
NIRO TOURING,1147,,,,,
OPTIMA FE,1148,,,,,
OPTIMA TURBO,1149,,,,,
SORENTO AWD FE,1150,,,,,
SOUL TURBO,1151,,,,,
AVENTADOR COUPE LP 740,1152,,,,,
AVENTADOR ROADSTER LP 740,1153,,,,,
RANGE ROVER EVOQUE CONVERTIBLE,1154,,,,,
CONTINENTAL AWD,1155,,,,,
MKC AWD (Start/Stop),1156,,,,,
LEVANTE,1157,,,,,
LEVANTE S,1158,,,,,
AMG C 63 CABRIOLET,1159,,,,,
AMG C 63 COUPE,1160,,,,,
AMG C 63 S CABRIOLET,1161,,,,,
AMG C 63 S COUPE,1162,,,,,
AMG GLA 45 4MATIC,1163,,,,,
AMG GLC 43 4MATIC COUPE,1164,,,,,
AMG GLE 43 4MATIC,1165,,,,,
AMG GLE 43 4MATIC COUPE,1166,,,,,
AMG GLE 63 S 4MATIC COUPE,1167,,,,,
AMG GLS 63,1168,,,,,
AMG GT COUPE,1169,,,,,
AMG GT S COUPE,1170,,,,,
AMG S 63 4MATIC,1171,,,,,
AMG S 63 CABRIOLET,1172,,,,,
AMG S 65 CABRIOLET,1173,,,,,
AMG SLC 43,1174,,,,,
C 300 4MATIC CABRIOLET,1175,,,,,
C 300 4MATIC COUPE,1176,,,,,
GLC 300 4MATIC,1177,,,,,
GLS 450 4MATIC,1178,,,,,
GLS 550 4MATIC,1179,,,,,
S 550 4MATIC CABRIOLET,1180,,,,,
SL 450,1181,,,,,
SLC 300,1182,,,,,
COOPER CLUBMAN ALL4,1183,,,,,
COOPER COUNTRYMAN ALL4,1184,,,,,
COOPER S CLUBMAN ALL4,1185,,,,,
COOPER S COUNTRYMAN  ALL4,1186,,,,,
JOHN COOPER WORKS 3 DOOR,1187,,,,,
JOHN COOPER WORKS CLUBMAN ALL4,1188,,,,,
MIRAGE G4,1189,,,,,
QASHQAI,1190,,,,,
QASHQAI AWD,1191,,,,,
SENTRA (Turbo),1192,,,,,
SENTRA NISMO,1193,,,,,
TITAN 4WD PRO-4X,1194,,,,,
CAYENNE PLATINUM,1195,,,,,
MACAN,1196,,,,,
MACAN GTS,1197,,,,,
DAWN,1198,,,,,
CROSSTREK AWD,1199,,,,,
IMPREZA 4-DOOR AWD,1200,,,,,
IMPREZA 5-DOOR AWD,1201,,,,,
WRX AWD,1202,,,,,
86,1203,,,,,
COROLLA iM,1204,,,,,
HIGHLANDER AWD (Start/Stop System),1205,,,,,
HIGHLANDER AWD LE,1206,,,,,
GOLF ALLTRACK,1207,,,,,
GOLF SPORTWAGEN,1208,,,,,
GOLF SPORTWAGEN 4MOTION,1209,,,,,
S60 INSCRIPTION T5,1210,,,,,
S90 T5,1211,,,,,
S90 T6 AWD,1212,,,,,
V90 T5,1213,,,,,
V90 T6 AWD,1214,,,,,
V90 CC T6 AWD,1215,,,,,
TLX A-SPEC,1216,,,,,
TLX SH-AWD A-SPEC,1217,,,,,
4C COUPE,1218,,,,,
STELVIO AWD,1219,,,,,
STELVIO QUADRIFOGLIO,1220,,,,,
DB11 V8,1221,,,,,
A5 SPORTBACK QUATTRO,1222,,,,,
R8 QUATTRO,1223,,,,,
RS 3,1224,,,,,
S5 SPORTBACK,1225,,,,,
TT RS,1226,,,,,
TTS COUPE,1227,,,,,
CONTINENTAL SUPERSPORTS,1228,,,,,
640i xDRIVE GRAN TURISMO,1229,,,,,
750i xDRIVE SWB,1230,,,,,
M550i xDRIVE,1231,,,,,
X2 xDRIVE28i,1232,,,,,
X3 xDRIVE30i,1233,,,,,
X3 M40i,1234,,,,,
CHIRON,1235,,,,,
ENCORE (SIDI with Stop/Start),1236,,,,,
ENCORE AWD (SIDI with Stop/Start),1237,,,,,
CRUZE HATCHBACK DIESEL,1238,,,,,
SILVERADO eASSIST,1239,,,,,
CHALLENGER GT AWD,1240,,,,,
CHALLENGER GT AWD FFV,1241,,,,,
CHALLENGER SRT DEMON,1242,,,,,
DURANGO AWD SRT,1243,,,,,
500,1244,,,,,
500 ABARTH,1245,,,,,
ECOSPORT,1246,,,,,
ECOSPORT AWD,1247,,,,,
F-150 FFV (LT Tire Pkg),1248,,,,,
F-150 4X4 XL/XLT,1249,,,,,
F-150 RAPTOR 4WD,1250,,,,,
SIERRA eASSIST,1251,,,,,
ACCORD SPORT/TOURING,1252,,,,,
CIVIC COUPE Si,1253,,,,,
CIVIC HATCHBACK SPORT,1254,,,,,
CIVIC SEDAN Si,1255,,,,,
CIVIC TYPE R,1256,,,,,
ODYSSEY TOURING,1257,,,,,
KONA,1258,,,,,
KONA AWD,1259,,,,,
SANTA FE SPORT ULTIMATE AWD,1260,,,,,
Q50 AWD RED SPORT,1261,,,,,
Q60 AWD RED SPORT,1262,,,,,
F-PACE 20d,1263,,,,,
F-PACE 25t,1264,,,,,
F-TYPE CONVERTIBLE R-DYNAMIC,1265,,,,,
F-TYPE CONVERTIBLE R-DYNAMIC AWD,1266,,,,,
F-TYPE COUPE R-DYNAMIC,1267,,,,,
F-TYPE COUPE R-DYNAMIC AWD,1268,,,,,
XE 25t AWD,1269,,,,,
XF 25t AWD,1270,,,,,
XJ R-SPORT AWD,1271,,,,,
XJL PORTFOLIO AWD,1272,,,,,
CHEROKEE 4X4 ACTIVE DRIVE I FFV,1273,,,,,
GRAND CHEROKEE 4X4 SRT,1274,,,,,
GRAND CHEROKEE 4X4 TRACKHAWK,1275,,,,,
NEW WRANGLER 4X4,1276,,,,,
NEW WRANGLER UNLIMITED 4X4,1277,,,,,
WRANGLER JK 4X4,1278,,,,,
WRANGLER JK UNLIMITED 4X4,1279,,,,,
STINGER AWD,1280,,,,,
AVENTADOR S COUPE,1281,,,,,
AVENTADOR S ROADSTER,1282,,,,,
HURACAN AWD,1283,,,,,
HURACAN SPYDER AWD,1284,,,,,
RANGE ROVER VELAR,1285,,,,,
IS 300,1286,,,,,
LC 500,1287,,,,,
LC 500h,1288,,,,,
LS 500,1289,,,,,
LS 500 AWD,1290,,,,,
LS 500h,1291,,,,,
LS 500h AWD,1292,,,,,
NX 300 AWD,1293,,,,,
NX 300 AWD F SPORT,1294,,,,,
RX 350 L AWD,1295,,,,,
CX-5 (Cylinder Deactivation),1296,,,,,
CX-5 4WD (Cylinder Deactivation),1297,,,,,
MAZDA6 TURBO,1298,,,,,
AMG C 43 4MATIC,1299,,,,,
AMG C 43 4MATIC CABRIOLET,1300,,,,,
AMG C 43 4MATIC COUPE,1301,,,,,
AMG CLA 45 4MATIC,1302,,,,,
AMG E 43 4MATIC,1303,,,,,
AMG GLC 43 4MATIC,1304,,,,,
AMG GLS 63 4MATIC,1305,,,,,
AMG GT ROADSTER,1306,,,,,
AMG GT C COUPE,1307,,,,,
AMG GT C ROADSTER,1308,,,,,
AMG GT R COUPE,1309,,,,,
AMG S 63 4MATIC CABRIOLET,1310,,,,,
AMG S 63 4MATIC COUPE,1311,,,,,
C 300 4MATIC WAGON,1312,,,,,
E 400 4MATIC CABRIOLET,1313,,,,,
GLC 300 4MATIC COUPE,1314,,,,,
MAYBACH S 650,1315,,,,,
S 450 4MATIC SWB,1316,,,,,
S 560 CABRIOLET,1317,,,,,
S 560 4MATIC,1318,,,,,
S 560 4MATIC SWB,1319,,,,,
S 560 4MATIC COUPE,1320,,,,,
ECLIPSE CROSS,1321,,,,,
ECLIPSE CROSS 4WD,1322,,,,,
KICKS,1323,,,,,
911 TARGA 4 GTS,1324,,,,,
911 TURBO S EXCLUSIVE,1325,,,,,
MACAN TURBO KIT,1326,,,,,
PANAMERA 4 EXECUTIVE,1327,,,,,
PANAMERA 4 ST,1328,,,,,
PANAMERA 4S ST,1329,,,,,
PANAMERA TURBO ST,1330,,,,,
BRZ tS,1331,,,,,
WRX STI AWD,1332,,,,,
WRX STI AWD TYPE RA,1333,,,,,
CAMRY LE/SE,1334,,,,,
CAMRY XLE/XSE,1335,,,,,
CAMRY XSE,1336,,,,,
C-HR,1337,,,,,
ATLAS,1338,,,,,
ATLAS 4MOTION,1339,,,,,
BEETLE DUNE CONVERTIBLE,1340,,,,,
S90 T5 AWD,1341,,,,,
V90 CC T5 AWD,1342,,,,,
MDX SH-AWD A-SPEC,1343,,,,,
MDX Hybrid AWD,1344,,,,,
RDX AWD A-SPEC,1345,,,,,
RLX Hybrid,1346,,,,,
4C Coupe,1347,,,,,
4C Spider,1348,,,,,
Giulia,1349,,,,,
Giulia AWD,1350,,,,,
Giulia Quadrifoglio,1351,,,,,
Stelvio,1352,,,,,
Stelvio AWD,1353,,,,,
Stelvio AWD Quadrifoglio,1354,,,,,
DB11 AMR,1355,,,,,
DBS Superleggera,1356,,,,,
Rapide AMR,1357,,,,,
Vanquish Zagato,1358,,,,,
Vantage V8,1359,,,,,
A3 quattro,1360,,,,,
A3 Cabriolet quattro,1361,,,,,
A4 quattro,1362,,,,,
A4 allroad quattro,1363,,,,,
A5 quattro,1364,,,,,
A5 Cabriolet quattro,1365,,,,,
A5 Sportback quattro,1366,,,,,
A6 quattro,1367,,,,,
A7 quattro,1368,,,,,
Q3 quattro,1369,,,,,
Q8,1370,,,,,
RS 5 Coupe,1371,,,,,
RS 5 Sportback,1372,,,,,
S5 Cabriolet,1373,,,,,
S5 Sportback,1374,,,,,
TT Coupe quattro,1375,,,,,
TT Roadster quattro,1376,,,,,
TT RS Coupe,1377,,,,,
TTS Coupe,1378,,,,,
Bentayga,1379,,,,,
Mulsanne,1380,,,,,
230i xDrive Cabriolet,1381,,,,,
230i xDrive Coupe,1382,,,,,
330i xDrive,1383,,,,,
330i xDrive Gran Turismo,1384,,,,,
330i xDrive Touring,1385,,,,,
430i xDrive Cabriolet,1386,,,,,
430i xDrive Coupe,1387,,,,,
430i xDrive Gran Coupe,1388,,,,,
440i Coupe,1389,,,,,
440i xDrive Cabriolet,1390,,,,,
440i xDrive Coupe,1391,,,,,
440i xDrive Gran Coupe,1392,,,,,
530i xDrive,1393,,,,,
540i xDrive,1394,,,,,
640i xDrive Gran Coupe,1395,,,,,
640i xDrive Gran Turismo,1396,,,,,
650i xDrive Gran Coupe,1397,,,,,
750i xDrive,1398,,,,,
750Li xDrive,1399,,,,,
Alpina B6 xDrive Gran Coupe,1400,,,,,
Alpina B7 xDrive,1401,,,,,
M2 Competition,1402,,,,,
M240i Cabriolet,1403,,,,,
M240i Coupe,1404,,,,,
M240i Coupe M Performance,1405,,,,,
M240i xDrive Cabriolet,1406,,,,,
M240i xDrive Coupe,1407,,,,,
M240i xDrive Coupe M Performance,1408,,,,,
M4 Cabriolet,1409,,,,,
M4 Cabriolet Competition,1410,,,,,
M4 Coupe,1411,,,,,
M4 Coupe Competition,1412,,,,,
M4 CS,1413,,,,,
M5 Competition,1414,,,,,
M550i xDrive,1415,,,,,
M6 Gran Coupe,1416,,,,,
M760Li xDrive,1417,,,,,
M850i xDrive Cabriolet,1418,,,,,
M850i xDrive Coupe,1419,,,,,
X1 xDrive28i,1420,,,,,
X2 xDrive28i,1421,,,,,
X3 xDrive30i,1422,,,,,
X4 xDrive30i,1423,,,,,
X5 xDrive40i,1424,,,,,
X5 xDrive50i,1425,,,,,
X6 xDrive35i,1426,,,,,
X6 xDrive50i,1427,,,,,
X7 xDrive40i,1428,,,,,
X7 xDrive50i,1429,,,,,
Chiron,1430,,,,,
Enclave,1431,,,,,
Enclave AWD,1432,,,,,
Encore,1433,,,,,
Encore (SIDI with Stop/Start),1434,,,,,
Encore AWD,1435,,,,,
Encore AWD (SIDI with Stop/Start),1436,,,,,
Envision AWD,1437,,,,,
LaCrosse,1438,,,,,
LaCrosse eAssist,1439,,,,,
LaCrosse AWD,1440,,,,,
Regal,1441,,,,,
Regal AWD,1442,,,,,
Escalade 4WD,1443,,,,,
XT4,1444,,,,,
XT4 AWD,1445,,,,,
Blazer,1446,,,,,
Blazer AWD,1447,,,,,
Camaro,1448,,,,,
Camaro SS,1449,,,,,
Camaro ZL1,1450,,,,,
Colorado,1451,,,,,
Colorado 4WD,1452,,,,,
Colorado ZR2 4WD,1453,,,,,
Corvette,1454,,,,,
Corvette Z06,1455,,,,,
Corvette ZR1,1456,,,,,
Cruze,1457,,,,,
Cruze Premier,1458,,,,,
Cruze Diesel,1459,,,,,
Cruze Hatchback,1460,,,,,
Cruze Hatchback Premier,1461,,,,,
Cruze Hatchback Diesel,1462,,,,,
Equinox,1463,,,,,
Equinox AWD,1464,,,,,
Impala,1465,,,,,
Malibu,1466,,,,,
Malibu Hybrid,1467,,,,,
Silverado,1468,,,,,
Silverado FFV,1469,,,,,
Silverado 4WD,1470,,,,,
Silverado 4WD Trail Boss,1471,,,,,
Silverado 4WD FFV,1472,,,,,
Silverado LD,1473,,,,,
Silverado LD 4WD,1474,,,,,
Spark,1475,,,,,
Suburban,1476,,,,,
Suburban FFV,1477,,,,,
Suburban 4WD,1478,,,,,
Suburban 4WD FFV,1479,,,,,
Tahoe,1480,,,,,
Tahoe FFV,1481,,,,,
Tahoe 4WD,1482,,,,,
Tahoe 4WD FFV,1483,,,,,
Traverse,1484,,,,,
Traverse AWD,1485,,,,,
Trax,1486,,,,,
Trax 4WD,1487,,,,,
Pacifica,1488,,,,,
Pacifica (Stop-Start),1489,,,,,
Challenger,1490,,,,,
Challenger (MDS),1491,,,,,
Challenger GT AWD,1492,,,,,
Challenger SRT Hellcat,1493,,,,,
Challenger SRT Hellcat Redeye,1494,,,,,
Charger,1495,,,,,
Charger FFV,1496,,,,,
Charger (MDS),1497,,,,,
Charger AWD,1498,,,,,
Charger AWD FFV,1499,,,,,
Charger AWD (MDS),1500,,,,,
Charger SRT Hellcat,1501,,,,,
Durango AWD,1502,,,,,
Durango AWD SRT,1503,,,,,
Grand Caravan FFV,1504,,,,,
Journey,1505,,,,,
Journey FFV,1506,,,,,
Journey AWD,1507,,,,,
124 Spider,1508,,,,,
EcoSport,1509,,,,,
EcoSport AWD,1510,,,,,
Edge,1511,,,,,
Edge AWD,1512,,,,,
Escape,1513,,,,,
Escape FFV,1514,,,,,
Escape AWD,1515,,,,,
Expedition 4X4,1516,,,,,
Expedition MAX 4X4,1517,,,,,
Explorer AWD,1518,,,,,
Explorer FFV AWD,1519,,,,,
F-150 4X4 Limited,1520,,,,,
F-150 Raptor 4X4,1521,,,,,
Flex,1522,,,,,
Flex AWD,1523,,,,,
Flex AWD GTDI,1524,,,,,
Fiesta,1525,,,,,
Fiesta ST,1526,,,,,
Fusion,1527,,,,,
Fusion Hybrid,1528,,,,,
Mustang,1529,,,,,
Mustang (Performance Pkg),1530,,,,,
Mustang Bullitt,1531,,,,,
Mustang Convertible,1532,,,,,
Ranger 4WD,1533,,,,,
Shelby GT350 Mustang,1534,,,,,
